Name,Age,Email,Country,Salary,DateOfJoining
invalid,59.0,ycastro@example.org,Switzerland,44694.24,2022-09-29
David Jefferson,21.0,,China,,2021-10-04
Jessica Reyes,34.0,,,60511.62,2022-05-24
Kenneth Macdonald,68.0,ewolf@example.com,Italy,84223.29,2022-04-07
Julie Horne,78.0,,Ecuador,24665.13,2020-06-19
Jonathan Holland,26.0,mayercaitlin@example.org,Cameroon,25660.99,2023-05-01
James Clark,80.0,ynguyen@example.net,,61345.33,
Kimberly Roberts,76.0,lmiller@example.org,Netherlands,58550.56,2023-07-08
Barbara Armstrong,22.0,fmitchell@example.com,,,
Jason Perez,59.0,collinsedward@example.com,Myanmar,20175.11,2024-04-11
Olivia Strong,76.0,schultzpatricia@example.com,South Africa,72362.02,2023-07-27
Keith Deleon,56.0,josephwall@example.com,Cocos (Keeling) Islands,23361.13,
Kelly Schultz,21.0,,Kiribati,93448.73,2023-07-24
Jessica Rivera,73.0,fmitchell@example.net,Central African Republic,71261.36,2021-05-18
James Lloyd,53.0,,,,
Lauren Becker,30.0,watsonjeffrey@example.net,Malta,invalid,2020-01-13
,73.0,johnstonkrista@example.com,Cook Islands,24176.12,2022-10-11
,,julia08@example.com,Venezuela,93339.52,2020-11-11
Greg Gates,77.0,,,54383.22,2024-05-13
Amy Sims,31.0,,Bolivia,51559.83,2023-08-22
Dylan Simpson,46.0,jessica74@example.net,Serbia,59670.5,2021-10-31
Mark Barber,60.0,davidcook@example.net,,96746.83,2021-02-27
John Hicks,30.0,catkins@example.org,Mexico,80906.51,
Karen Ward,56.0,daniel47@example.com,Congo,83580.8,2022-04-09
Amy Henson,80.0,tylerwatts@example.org,Bosnia and Herzegovina,35390.77,2023-12-11
,20.0,,Bouvet Island (Bouvetoya),73892.64,2023-08-26
,59.0,amy02@example.net,Anguilla,56583.58,
,71.0,gillespiecalvin@example.net,Syrian Arab Republic,71049.67,2020-01-20
Ricardo Moody,76.0,xmorales@example.net,Bahrain,83514.58,2024-03-29
Stephanie Moss,61.0,qvaughan@example.com,Guernsey,35671.38,2021-11-22
Raven Thompson,77.0,brandibarnes@example.com,Korea,76460.86,
William Peck,26.0,christopher37@example.org,,42155.66,
,57.0,danielperkins@example.org,Barbados,78620.54,2024-05-17
Laura Pham,69.0,,Israel,45046.19,2024-04-01
David Shields,55.0,brad93@example.net,Burundi,,2023-11-27
Rebecca Davis,35.0,wallacejennifer@example.net,Sri Lanka,66871.64,2022-08-06
Keith Velazquez,22.0,charles82@example.net,Burkina Faso,81661.97,2024-03-27
Christopher Martin,40.0,tina11@example.com,Netherlands Antilles,81367.57,2020-07-30
Lindsey York,38.0,,Mexico,97896.77,2022-03-05
Lauren Ramos,80.0,tracey07@example.net,Zambia,74110.67,
invalid,64.0,mjackson@example.org,British Indian Ocean Territory (Chagos Archipelago),25219.6,2024-02-14
Nichole Mora,52.0,turnersarah@example.net,Angola,64674.33,
